시점,행정구역(시),행정구역(시군구)별,총인구수,남자인구수,여자인구수,영아기,아동기,청소년기,청년기,중년기,노년기
2023,전라남도,화순군,61458.0,30373.0,31085.0,1108.5,1729.0,5217.5,10827.0,18522.5,32932.5
2023,경상북도,경상북도,2558213.5,1290582.0,1267631.5,62519.5,95650.0,218368.5,515673.0,803746.5,1107858.0
2023,경상북도,경산시,266058.0,133713.0,132345.0,6978.0,10543.5,22809.5,66723.0,86022.5,90456.0
2023,경상북도,경주시,247712.0,123923.0,123789.0,5562.5,8325.0,19727.0,46646.0,79662.0,111873.5
2023,경상북도,고령군,30179.5,15488.0,14691.5,465.0,652.0,1807.5,4007.5,8867.5,19103.5
2023,경상북도,구미시,405517.0,208599.0,196918.0,12841.0,21132.0,43954.5,109731.5,141890.0,91093.5
2023,경상북도,김천시,138069.5,69286.5,68783.0,3788.0,5205.0,12225.0,26677.0,41668.5,63465.0
2023,경상북도,남구,226152.0,117218.5,108933.5,5308.5,9195.0,20873.5,48612.0,74272.5,80625.0
2023,경상북도,문경시,69335.0,34062.0,35273.0,1449.0,1952.5,5236.5,10728.0,19428.0,40704.5
2023,경상북도,봉화군,29719.0,15114.0,14605.0,421.0,602.0,1715.5,3180.5,7802.5,21894.0
2023,경상북도,북구,267127.0,132835.0,134292.0,7233.0,11602.5,24998.0,56760.0,86649.5,96216.5
2023,경상북도,상주시,94172.5,46316.0,47856.5,1783.0,2666.5,7225.5,13727.0,26040.5,58283.0
2023,경상북도,성주군,42194.5,22004.5,20190.0,808.0,783.5,2129.0,5700.0,11873.0,27238.0
2023,경상북도,안동시,153467.5,75808.0,77659.5,3531.0,5289.5,13055.0,29276.5,45953.0,74192.5
2023,경상북도,영덕군,34246.0,16301.5,17944.5,531.0,766.0,1898.0,4013.5,9075.0,24912.0
2023,경상북도,영양군,15812.0,7886.5,7925.5,226.0,342.5,871.5,1826.5,4150.0,11585.0
2023,경상북도,영주시,100270.5,49708.0,50562.5,1916.0,3183.5,8655.0,16657.5,29692.5,52799.0
2023,경상북도,영천시,100430.5,51140.5,49290.0,2476.0,2662.0,6377.5,17285.5,29416.0,54927.5
2023,경상북도,예천군,55432.0,27254.0,28178.0,1730.5,2347.5,4640.0,8956.5,14903.0,31967.0
2023,경상북도,울릉군,8949.5,4950.0,3999.5,141.0,180.5,439.5,1604.0,2981.5,4476.5
2023,경상북도,울진군,46750.0,23564.5,23185.5,1058.0,1394.0,3342.0,7761.0,13835.5,26485.5
2023,경상북도,의성군,49981.0,24692.0,25289.0,831.5,852.5,2109.0,5442.0,12002.0,39827.5
2023,경상북도,청도군,41350.5,20451.5,20899.0,546.0,720.5,2147.0,4658.0,10873.5,30344.5
2023,경상북도,청송군,24122.0,12097.5,12024.5,390.5,445.5,1076.5,2916.5,6268.5,17572.5
2023,경상북도,칠곡군,111166.0,58168.5,52997.5,2505.0,4806.5,11056.0,22783.0,40419.5,37816.0
2023,경상북도,포항시,493279.0,250053.5,243225.5,12541.5,20797.5,45871.5,105372.0,160922.0,176841.5
2023,경상남도,경상남도,3255461.0,1638272.5,1617188.5,82778.5,138123.5,317234.5,686227.0,1086440.5,1176237.5
2023,경상남도,거제시,234450.5,122484.0,111966.5,6533.0,13616.0,28269.5,48099.0,87902.5,59632.0
2023,경상남도,거창군,60062.5,29525.0,30537.5,1153.5,1938.0,5662.0,9725.0,17164.5,33439.0
